CauHoi,Intent
Hút thuốc lá điện tử trong trường bị xử lý như thế nào,info
Hút thuốc lá điện tử trong trường bị xử lý gì,info
Hút thuốc lá điện tử trong trường bị xử lý ra sao,info
Tự ý tạm dừng số điện thoại liên lạc của người khác bị xử lý như thế nào,info
Tự ý tạm dừng số điện thoại liên lạc của người khác bị xử lý gì,info
Tự ý tạm dừng số điện thoại liên lạc của người khác bị xử lý ra sao,info
Tự ý sử dụng thông tin của người khác khi chưa được sự đồng ý bị xử lý như thế nào,info
Tự ý sử dụng thông tin của người khác khi chưa được sự đồng ý bị xử lý gì,info
Tự ý sử dụng thông tin của người khác khi chưa được sự đồng ý bị xử lý ra sao,info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường hoặc dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý như thế nào",info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường hoặc dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý gì",info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường hoặc dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý ra sao",info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường bị xử lý như thế nào",info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường bị xử lý gì",info
"Đưa phần tử xấu vào trong trường gây ảnh hưởng xấu đến an ninh, trật tự trong nhà trường bị xử lý ra sao",info
"Dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý như thế nào",info
"Dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý gì",info
"Dẫn bạn vào trường mà không liên hệ bảo vệ, giám thị xin phép bị xử lý ra sao",info
Điều khiển xe máy chở quá số người quy định vào trường bị xử lý như thế nào,info
Điều khiển xe máy chở quá số người quy định vào trường bị xử lý gì,info
Điều khiển xe máy chở quá số người quy định vào trường bị xử lý ra sao,info
Ngồi trên xe máy chở quá số người quy định trong trường bị xử lý như thế nào,info
Ngồi trên xe máy chở quá số người quy định trong trường bị xử lý gì,info
Ngồi trên xe máy chở quá số người quy định trong trường bị xử lý như thế nào,info
Nghịch phá và vi phạm nguyên tắc an toàn cháy nổ trong trường bị xử lý như thế nào,info
Nghịch phá và vi phạm nguyên tắc an toàn cháy nổ trong trường bị xử lý gì,info
Nghịch phá và vi phạm nguyên tắc an toàn cháy nổ trong trường bị xử lý ra sao,info
"Gây rối an ninh, gây mất trật tự trong trường bị xử lý như thế nào",info
"Gây rối an ninh, gây mất trật tự trong trường bị xử lý gì",info
"Gây rối an ninh, gây mất trật tự trong trường bị xử lý ra sao",info
Gây rối an ninh trong trường bị xử lý như thế nào,info
Gây rối an ninh trong trường bị xử lý gì,info
Gây rối an ninh trong trường bị xử lý ra sao,info
Gây mất trật tự trong trường bị xử lý như thế nào,info
Gây mất trật tự trong trường bị xử lý gì,info
Gây mất trật tự trong trường bị xử lý ra sao,info
Phá hoại cây xanh trong trường bị xử lý như thế nào,info
Phá hoại cây xanh trong trường bị xử lý gì,info
Phá hoại cây xanh trong trường bị xử lý ra sao,info
Bắt chim chóc trong trường bị xử lý như thế nào,info
Bắt chim chóc trong trường bị xử lý gì,info
Bắt chim chóc trong trường bị xử lý ra sao,info
Phá tổ chim trong trường bị xử lý như thế nào,info
Phá tổ chim trong trường bị xử lý gì,info
Phá tổ chim trong trường bị xử lý ra sao,info
Bắt tổ chim trong trường bị xử lý như thế nào,info
Bắt tổ chim trong trường bị xử lý gì,info
Bắt tổ chim trong trường bị xử lý ra sao,info
Đá banh trong lớp học bị xử lý như thế nào,info
Đá banh trong lớp học bị xử lý gì,info
Đá banh trong lớp học bị xử lý ra sao,info
Đá cầu trong lớp học bị xử lý như thế nào,info
Đá cầu trong lớp học bị xử lý gì,info
Đá cầu trong lớp học bị xử lý ra sao,info
Đá banh hành lang trường bị xử lý như thế nào,info
Đá banh hành lang trường bị xử lý gì,info
Đá banh hành lang trường bị xử lý ra sao,info
Đá cầu ở vườn hoa trường bị xử lý như thế nào,info
Đá cầu ở vườn hoa trường bị xử lý gì,info
Đá cầu ở vườn hoa trường bị xử lý ra sao,info
Đùa giỡn gây nguy hiểm cho người khác bị xử lý như thế nào ,info
Đùa giỡn gây nguy hiểm cho người khác bị xử lý gì,info
Đùa giỡn gây nguy hiểm cho người khác bị xử lý ra sao,info
Đá cầu ở sân thượng trường bị xử lý như thế nào,info
Đá cầu ở sân thượng trường bị xử lý gì,info
Đá cầu ở sân thượng trường bị xử lý ra sao,info
"Nói to, la lớn trong khuôn viên trường bị xử lý như thế nào",info
"Nói to, la lớn trong khuôn viên trường bị xử lý gì",info
"Nói to, la lớn trong khuôn viên trường bị xử lý ra sao",info
Nói to trong khuôn viên trường bị xử lý như thế nào,info
Nói to trong khuôn viên trường bị xử lý gì,info
Nói to trong khuôn viên trường bị xử lý ra sao,info
La lớn trong khuôn viên trường bị xử lý như thế nào,info
La lớn trong khuôn viên trường bị xử lý gì,info
La lớn trong khuôn viên trường bị xử lý ra sao,info
"Tụ tập trước giảng đường, phòng học đang có người học bị xử lý như thế nào",info
"Tụ tập trước giảng đường, phòng học đang có người học bị xử lý gì",info
"Tụ tập trước giảng đường, phòng học đang có người học bị xử lý ra sao",info
Tụ tập trước giảng đường đang có người học bị xử lý như thế nào,info
Tụ tập trước giảng đường đang có người học bị xử lý gì,info
Tụ tập trước giảng đường đang có người học bị xử lý ra sao,info
Tụ tập trước phòng học đang có người học bị xử lý như thế nào,info
Tụ tập trước phòng học đang có người học bị xử lý gì,info
Tụ tập trước phòng học đang có người học bị xử lý ra sao,info
Đi vào khu vực sinh viên không được phép vào bị xử lý như thế nào,info
Đi vào khu vực sinh viên không được phép vào bị xử lý gì,info
Đi vào khu vực sinh viên không được phép vào bị xử lý ra sao,info
"Treo áp phích, băng rôn trong trường mà chưa được sự đồng ý của nhà trường bị xử lý như thế nào",info
"Treo áp phích, băng rôn trong trường mà chưa được sự đồng ý của nhà trường bị xử lý gì",info
"Treo áp phích, băng rôn trong trường mà chưa được sự đồng ý của nhà trường bị xử lý ra sao",info
Phát tờ rơi trong trường mà chưa được sự đồng ý của nhà trường bị xử lý như thế nào,info
Phát tờ rơi trong trường mà chưa được sự đồng ý của nhà trường bị xử lý gì,info
Phát tờ rơi trong trường mà chưa được sự đồng ý của nhà trường bị xử lý ra sao,info
Buôn bán dưới mọi hình thức mà chưa được sự đồng ý của nhà trường bị xử lý như thế nào,info
Buôn bán dưới mọi hình thức mà chưa được sự đồng ý của nhà trường bị xử lý gì,info
Buôn bán dưới mọi hình thức mà chưa được sự đồng ý của nhà trường bị xử lý ra sao,info
Cố tình nộp chậm học phí mà không có lý do chính đáng bị xử lý như thế nào,info
Cố tình nộp chậm học phí mà không có lý do chính đáng bị xử lý gì,info
Cố tình nộp chậm học phí mà không có lý do chính đáng bị xử lý ra sao,info
Không nộp học phí theo quy định nhà trường mà không có lý do chính đáng bị xử lý như thế nào,info
Không nộp học phí theo quy định nhà trường mà không có lý do chính đáng bị xử lý gì,info
Không nộp học phí theo quy định nhà trường mà không có lý do chính đáng bị xử lý ra sao,info
Không nộp bảo hiểm y tế mà không có lý do chính đáng bị xử lý như thế nào,info
Không nộp bảo hiểm y tế mà không có lý do chính đáng bị xử lý gì,info
Không nộp bảo hiểm y tế mà không có lý do chính đáng bị xử lý ra sao,info
Đánh bạc trong trường bị xử lý như thế nào,info
Đánh bạc trong trường bị xử lý gì,info
Đánh bạc trong trường bị xử lý ra sao,info
Đánh bạc dưới mọi hình thức trong trường bị xử lý như thế nào,info
Đánh bạc dưới mọi hình thức trong trường bị xử lý gì,info
Đánh bạc dưới mọi hình thức trong trường bị xử lý ra sao,info
Xem đánh bài trong trường mà không báo với đơn vị chức năng bị xử lý như thế nào,info
Xem đánh bài trong trường mà không báo với đơn vị chức năng bị xử lý gì,info
Xem đánh bài trong trường mà không báo với đơn vị chức năng bị xử lý ra sao,info
Xem đánh bài trong trường bị xử lý như thế nào,info
Xem đánh bài trong trường bị xử lý gì,info
Xem đánh bài trong trường bị xử lý ra sao,info
Đánh nhau trong trường bị xử lý như thế nào,info
Đánh nhau trong trường bị xử lý gì,info
Đánh nhau trong trường bị xử lý ra sao,info
Tổ chức đánh nhau trong trường bị xử lý như thế nào,info
Tổ chức đánh nhau trong trường bị xử lý gì,info
Tổ chức đánh nhau trong trường bị xử lý ra sao,info
Tham gia tổ chức đánh nhau trong trường bị xử lý như thế nào,info
Tham gia tổ chức đánh nhau trong trường bị xử lý gì,info
Tham gia tổ chức đánh nhau trong trường bị xử lý ra sao,info
Tham gia đánh nhau trong trường bị xử lý như thế nào,info
Tham gia đánh nhau trong trường bị xử lý gì,info
Tham gia đánh nhau trong trường bị xử lý ra sao,info
Chủ động tấn công người khác trong trường bị xử lý như thế nào,info
Chủ động tấn công người khác trong trường bị xử lý gì,info
Chủ động tấn công người khác trong trường bị xử lý ra sao,info
Nhặt được của rơi không liên hệ các bộ phận để trả lại người mất bị xử lý như thế nào,info
Nhặt được của rơi không liên hệ các bộ phận để trả lại người mất bị xử lý gì,info
Nhặt được của rơi không liên hệ các bộ phận để trả lại người mất bị xử lý ra sao,info
Phát hiện nhặt được của rơi mà không trả lại người mất bị xử lý như thế nào,info
Phát hiện nhặt được của rơi mà không trả lại người mất bị xử lý gì,info
Phát hiện nhặt được của rơi mà không trả lại người mất bị xử lý ra sao,info
Tham gia các hoạt động mang tính chất chính trị trái pháp luật bị xử lý như thế nào,info
Tham gia các hoạt động mang tính chất chính trị trái pháp luật bị xử lý gì,info
Tham gia các hoạt động mang tính chất chính trị trái pháp luật bị xử lý ra sao,info
Thành lập các hoạt động mang tính chất chính trị trái pháp luật bị xử lý như thế nào,info
Thành lập các hoạt động mang tính chất chính trị trái pháp luật bị xử lý gì,info
Thành lập các hoạt động mang tính chất chính trị trái pháp luật bị xử lý ra sao,info
"Tổ chức, tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý như thế nào",info
"Tổ chức, tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý gì",info
"Tổ chức, tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý ra sao",info
Tổ chức các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý như thế nào,info
Tổ chức các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý gì,info
Tổ chức các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý ra sao,info
Tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý như thế nào,info
Tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý gì,info
Tham gia các hoạt động tập thể mang danh nghĩa nhà trường khi chưa được nhà trường cho phép bị xử lý ra sao,info
Tàng trữ các sản phẩm đồi trụy bị xử lý như thế nào,info
Tàng trữ các sản phẩm đồi trụy bị xử lý gì,info
Tàng trữ các sản phẩm đồi trụy bị xử lý ra sao,info
Sử dụng các sản phẩm đồi trụy bị xử lý như thế nào,info
Sử dụng các sản phẩm đồi trụy bị xử lý gì,info
Sử dụng các sản phẩm đồi trụy bị xử lý ra sao,info
"Truy cập, sử dụng các sản phẩm đồi trụy bị xử lý như thế nào",info
"Truy cập, sử dụng các sản phẩm đồi trụy bị xử lý gì",info
"Truy cập, sử dụng các sản phẩm đồi trụy bị xử lý ra sao",info
Tham gia các hoạt động mê tín dị đoan trong trường bị xử lý như thế nào,info
Tham gia các hoạt động mê tín dị đoan trong trường bị xử lý gì,info
Tham gia các hoạt động mê tín dị đoan trong trường bị xử lý ra sao,info
Tham gia hoạt động tôn giáo trái phép trong trường bị xử lý như thế nào,info
Tham gia hoạt động tôn giáo trái phép trong trường bị xử lý gì,info
Tham gia hoạt động tôn giáo trái phép trong trường bị xử lý ra sao,info
Buôn bán ma túy trong trường bị xử lý như thế nào,info
Buôn bán ma túy trong trường bị xử lý gì,info
Buôn bán ma túy trong trường bị xử lý ra sao,info
Tàng trữ ma túy trong trường bị xử lý như thế nào,info
Tàng trữ ma túy trong trường bị xử lý gì,info
Tàng trữ ma túy trong trường bị xử lý ra sao,info
Lôi kéo người khác sử dụng ma túy bị xử lý như thế nào,info
Lôi kéo người khác sử dụng ma túy bị xử lý gì,info
Lôi kéo người khác sử dụng ma túy bị xử lý ra sao,info
Vận chuyển ma túy bị xử lý như thế nào,info
Vận chuyển ma túy bị xử lý gì,info
Vận chuyển ma túy bị xử lý ra sao,info
Sử dụng ma túy trong trường bị xử lý như thế nào,info
Sử dụng ma túy trong trường bị xử lý gì,info
Sử dụng ma túy trong trường bị xử lý ra sao,info
Buôn bán vũ khí trong trường bị xử lý như thế nào,info
Buôn bán vũ khí trong trường bị xử lý gì,info
Buôn bán vũ khí trong trường bị xử lý ra sao,info
Buôn bán chất nổ trong trường bị xử lý như thế nào,info
Buôn bán chất nổ trong trường bị xử lý gì,info
Buôn bán chất nổ trong trường bị xử lý ra sao,info
Buôn bán hàng cấm trong trường bị xử lý như thế nào,info
Buôn bán hàng cấm trong trường bị xử lý gì,info
Buôn bán hàng cấm trong trường bị xử lý ra sao,info
Buôn bán chất dễ cháy trong trường bị xử lý như thế nào,info
Buôn bán chất dễ cháy trong trường bị xử lý gì,info
Buôn bán chất dễ cháy trong trường bị xử lý ra sao,info
"Kích động, lôi kéo người khác biểu tình trong trường bị xử lý như thế nào",info
"Kích động, lôi kéo người khác biểu tình trong trường bị xử lý gì ",info
"Kích động, lôi kéo người khác biểu tình trong trường bị xử lý ra sao",info
Viết truyền đơn trái pháp luật trong trường bị xử lý như thế nào,info
Viết truyền đơn trái pháp luật trong trường bị xử lý gì,info
Viết truyền đơn trái pháp luật trong trường bị xử lý ra sao,info
Viết áp phích trái pháp luật trong trường bị xử lý như thế nào,info
Viết áp phích trái pháp luật trong trường bị xử lý gì,info
Viết áp phích trái pháp luật trong trường bị xử lý ra sao,info
"Đăng tải bài viết có nội dung dung tục, bạo lực trên mạng internet bị xử lý như thế nào",info
"Đăng tải bài viết có nội dung dung tục, bạo lực trên mạng internet bị xử lý gì",info
"Đăng tải bài viết có nội dung dung tục, bạo lực trên mạng internet bị xử lý ra sao",info
Đăng tải hình ảnh có nội dung đồi trụy trên mạng internet bị xử lý như thế nào,info
Đăng tải hình ảnh có nội dung đồi trụy trên mạng internet bị xử lý gì,info
Đăng tải hình ảnh có nội dung đồi trụy trên mạng internet bị xử lý ra sao,info
Đăng tải bài viết có nội dung chống phá đảng và nhà nước bị xử lý như thế nào,info
Đăng tải bài viết có nội dung chống phá đảng và nhà nước bị xử lý gì,info
Đăng tải bài viết có nội dung chống phá đảng và nhà nước bị xử lý ra sao,info
Xúc phạm danh dự của cá nhân bị xử lý như thế nào,info
Xúc phạm danh dự của cá nhân bị xử lý gì,info
Xúc phạm danh dự của cá nhân bị xử lý ra sao,info
Xúc phạm uy tín của tổ chức trên mạng internet bị xử lý như thế nào,info
Xúc phạm uy tín của tổ chức trên mạng internet bị xử lý gì,info
Xúc phạm uy tín của tổ chức trên mạng internet bị xử lý ra sao,info
Xúc phạm nhân phẩm của cá nhân trên mạng internet bị xử lý như thế nào,info
Xúc phạm nhân phẩm của cá nhân trên mạng internet bị xử lý gì,info
Xúc phạm nhân phẩm của cá nhân trên mạng internet bị xử lý ra sao,info
Vi phạm pháp luật và có văn bản của cơ quan chức năng gửi về trường yêu cầu nhà trường xử lý bị xử lý như thế nào,info
Vi phạm pháp luật và có văn bản của cơ quan chức năng gửi về trường yêu cầu nhà trường xử lý bị xử lý gì,info
Vi phạm pháp luật và có văn bản của cơ quan chức năng gửi về trường yêu cầu nhà trường xử lý bị xử lý ra sao,info
Slogan của TDTU là gì,info
Slogan của tôn đức thắng là gì,info
Slogan của trường tôn đức thắng là gì ,info
Slogan của TDT là gì,info
Linh vật của TDTU là gì,info
Linh vật của tôn đức thắng là gì,info
Linh vật của trường tôn đức thắng là gì ,info
Linh vật của TDT là gì,info
Mascot của TDTU là gì,info
Mascot của tôn đức thắng là gì,info
Mascot của trường tôn đức thắng là gì ,info
Mascot của TDT là gì,info
"Đặc điểm nhận diện giảng viên, viên chức TDTU",info
"Đặc điểm nhận diện giảng viên, viên chức TDTU là gì",info
Đặc điểm nhận diện sinh viên TDTU,info
Đặc điểm nhận diện sinh viên TDTU là gì,info
Chào bạn,greeting
Chào,greeting
Hello bạn,greeting
hello,greeting
Hello,greeting
Chào bạn nha,greeting
Xin chào,greeting
Chào chatbot,greeting
Bye,end
Tạm biệt,end
Cảm ơn,end
ok bạn,end
ok nha,end
bye nha,end
Cảm ơn rất nhiều,end
